idx,series,timepoint_hr,src,repair,dx,dy,ecc,q0x,q0y,q1x,q1y,q2x,q2y,q3x,q3y
127,PEG_L2,4.0,dots,kept,0.0,0.0,off,449.5426330566406,180.6627960205078,712.3057250976562,173.73574829101562,704.9500122070312,420.2833251953125,462.5503234863281,439.959716796875
141,PEG_L2,4.5,dots,repaired,0.0,0.0,off,440.8148193359375,184.0840606689453,700.5001220703125,175.19528198242188,695.02392578125,421.2590637207031,455.3870849609375,439.20013427734375
155,PEG_L2,5.0,dots,kept,0.0,0.0,off,471.18505859375,192.967529296875,713.3768310546875,177.6498565673828,706.9235229492188,414.9262390136719,464.7317199707031,430.243896484375
169,PEG_L2,5.5,dots,repaired,0.0,0.0,off,441.61322021484375,216.83143615722656,701.2985229492188,207.94265747070312,695.8223266601562,454.0064392089844,456.18548583984375,471.947509765625
183,PEG_L2,6.0,dots,repaired,0.0,0.0,off,427.92718505859375,183.3434600830078,687.6124877929688,174.45468139648438,682.1362915039062,420.5184631347656,442.49945068359375,438.45953369140625
16,PEG_L3,0.0,colour,repaired,0.0,0.0,off,90.62043762207031,355.82470703125,402.99078369140625,363.64630126953125,397.37957763671875,681.1159057617188,85.00923156738281,674.3536987304688
22,PEG_L3,0.0,dots,kept,0.0,0.0,ref,108.23696899414062,335.9289245605469,413.8882751464844,347.2793273925781,408.0993347167969,659.7948608398438,102.44802856445312,648.4444580078125
36,PEG_L3,0.5,dots,kept,0.0,0.0,off,79.50363159179688,322.322021484375,394.5689697265625,335.9267272949219,388.81024169921875,659.1251220703125,73.7448959350586,645.5203857421875
50,PEG_L3,1.0,dots,kept,0.0,0.0,off,76.72098541259766,321.4963073730469,392.0,336.40740966796875,384.47900390625,659.9262084960938,69.19999694824219,645.0150756835938
64,PEG_L3,1.5,dots,kept,0.0,0.0,off,60.522727966308594,331.4181823730469,377.23809814453125,340.72222900390625,374.3099670410156,662.022216796875,57.5945930480957,652.7181396484375
78,PEG_L3,2.0,dots,kept,0.0,0.0,off,74.417724609375,334.3038024902344,387.80328369140625,340.00274658203125,387.265380859375,662.4071044921875,73.87982940673828,656.7081298828125
92,PEG_L3,2.5,dots,kept,0.0,0.0,off,73.84615325927734,328.5457763671875,381.00579833984375,339.3304443359375,377.0481262207031,656.7957763671875,69.88847351074219,646.0111694335938
106,PEG_L3,3.0,dots,repaired,0.0,0.0,off,67.35752868652344,315.47674560546875,379.7278747558594,323.29833984375,374.1166687011719,640.7679443359375,61.74632263183594,634.0057373046875
120,PEG_L3,3.5,dots,repaired,0.0,0.0,off,77.20997619628906,327.43292236328125,389.580322265625,335.2545166015625,383.9691162109375,652.72412109375,71.59877014160156,645.9619140625
134,PEG_L3,4.0,dots,kept,0.0,0.0,off,69.0,335.0888977050781,381.47674560546875,343.844970703125,376.80224609375,665.5245361328125,64.32550048828125,656.7684326171875
148,PEG_L3,4.5,dots,kept,0.0,0.0,off,78.0898208618164,334.6826477050781,393.2268371582031,340.3194885253906,389.2593688964844,659.2804565429688,74.1223373413086,653.6436157226562
162,PEG_L3,5.0,dots,repaired,0.0,0.0,off,81.96757507324219,318.14141845703125,394.3379211425781,325.96295166015625,388.7267150878906,643.4326171875,76.35636901855469,636.6703491210938
176,PEG_L3,5.5,dots,repaired,0.0,0.0,off,75.01324462890625,327.978515625,387.38360595703125,335.800048828125,381.77239990234375,653.2697143554688,69.40203857421875,646.5074462890625
190,PEG_L3,6.0,dots,repaired,0.0,0.0,off,80.74775695800781,327.75347900390625,393.11810302734375,335.5750732421875,387.50689697265625,653.044677734375,75.13655090332031,646.282470703125
2,PEG_S1,0.0,dots,kept,0.0,0.0,off,442.8205261230469,185.09580993652344,701.8228149414062,176.1771697998047,689.6351318359375,435.7657775878906,449.109375,443.390625
10,PEG_S1,0.0,dots,kept,0.0,0.0,ref,448.1666564941406,188.16815185546875,704.7349853515625,178.04946899414062,695.9313354492188,434.0906677246094,469.5674133300781,443.3426818847656
30,PEG_S1,0.5,colour,repaired,0.0,0.0,off,449.25103759765625,172.04202270507812,704.3939208984375,164.2906951904297,693.329833984375,424.1522216796875,451.6077575683594,430.8858337402344
44,PEG_S1,1.0,dots,repaired,0.0,0.0,off,440.59698486328125,183.35528564453125,695.7398681640625,175.6039581298828,684.67578125,435.4654846191406,442.9537048339844,442.1990966796875
58,PEG_S1,1.5,dots,kept,0.0,0.0,off,440.92431640625,183.9027099609375,697.9810791015625,174.18612670898438,686.2468872070312,432.4115295410156,456.595947265625,435.8888854980469
72,PEG_S1,2.0,dots,kept,0.0,0.0,off,436.3440246582031,195.76470947265625,694.4100341796875,183.7315673828125,679.4336547851562,448.7244873046875,440.0,454.5
86,PEG_S1,2.5,dots,repaired,0.0,0.0,off,436.56219482421875,194.98287963867188,691.705078125,187.23155212402344,680.6409912109375,447.09307861328125,438.9189147949219,453.8266906738281
100,PEG_S1,3.0,dots,kept,0.0,0.0,off,436.2025451660156,191.6897735595703,695.3676147460938,182.04347229003906,678.0806274414062,449.0322570800781,450.5714416503906,453.21429443359375
114,PEG_S1,3.5,dots,repaired,0.0,0.0,off,435.89874267578125,195.74801635742188,691.0416259765625,187.99668884277344,679.9775390625,447.85821533203125,438.2554626464844,454.5918273925781
128,PEG_S1,4.0,dots,repaired,0.0,0.0,off,446.22430419921875,186.90841674804688,701.3671875,179.15708923339844,690.3031005859375,439.01861572265625,448.5810241699219,445.7522277832031
