idx,front_px,centroid_px,mass,n_px
209,168.0,191.34043888513952,8844.0947265625,436
210,381.0,176.28238340215813,9635.171875,436
211,173.0,160.2402048287063,13046.158203125,436
212,17.0,136.85973533258013,15046.185546875,436
213,166.0,142.13298375731003,13681.849609375,436
214,16.0,120.38581553260822,10438.9638671875,436
215,16.0,146.4435149881303,17349.94140625,436
216,211.0,203.56215209006226,9565.833984375,436
217,145.0,191.85453870107546,7180.896484375,436
218,149.0,194.2802294678841,9488.1337890625,436
219,9.0,178.49121314740478,12196.7685546875,436
220,31.0,115.07603093381402,10517.44921875,436
221,23.0,128.99904038628014,9511.6025390625,436
222,8.0,168.9465595694521,9732.7666015625,436
223,9.0,160.57588495129713,11649.66015625,436
224,17.0,137.5209254127145,14151.318359375,436
225,15.0,135.2481180754581,14874.6787109375,436
226,17.0,121.04476483448383,10018.478515625,436
227,217.0,157.45828079146375,16307.9765625,436
228,256.0,207.13006575583213,10460.9921875,436
229,158.0,189.13370316976267,7737.33984375,436
230,144.0,183.97371620589743,8786.1171875,436
231,228.0,195.53633937532084,11748.796875,436
232,179.0,190.9809874820745,10774.2392578125,436
233,167.0,193.51712637481955,8327.841796875,436
234,102.0,137.4952759553207,3887.726806640625,436
235,205.0,162.15771030389723,11827.5205078125,436
236,161.0,107.44976127039536,9363.544921875,436
237,177.0,134.4229297041308,10590.2626953125,436
238,19.0,111.85794499898977,9124.1171875,436
239,17.0,143.58251258553992,15801.1591796875,436
240,14.0,180.49829702866901,12303.625,436
241,162.0,202.43675131052504,8804.263671875,436
242,132.0,166.10900330495667,8054.1884765625,436
243,15.0,165.4775927737357,11353.310546875,436
244,202.0,193.62136503918632,11331.83203125,436
245,194.0,196.26455282329673,9753.501953125,436
246,107.0,138.22009220343014,4228.21533203125,436
247,54.0,80.62425605002052,15839.759765625,436
248,166.0,107.37371676413895,9068.4580078125,436
249,15.0,133.73078715327378,13955.57421875,436
250,17.0,119.67086298281103,9849.708984375,436
251,18.0,142.42294997954636,16243.5029296875,436
252,12.0,187.05574067987598,11700.9091796875,436
253,170.0,200.67883840531584,8832.326171875,436
254,203.0,190.29453224508347,10608.185546875,436
255,13.0,172.51766509810565,11497.587890625,436
256,225.0,194.59231570019273,12088.400390625,436
257,198.0,200.6862994907855,9024.2080078125,436
258,18.0,145.4911181622268,11216.287109375,436
259,13.0,150.79276257527007,12698.578125,436
260,202.0,136.58207650967015,11683.880859375,436
261,42.0,93.78055404987695,13205.9375,436
262,16.0,122.94592292052825,9589.87890625,436
263,13.0,151.46232724712453,16526.013671875,436
264,244.0,210.29746431549376,11265.1787109375,436
265,185.0,195.13938286907302,9411.6904296875,436
266,195.0,191.64343085502037,9673.5048828125,436
267,14.0,178.90853960407037,12365.2685546875,436
268,15.0,179.6636983309951,14933.412109375,436
269,20.0,166.09715355850827,11714.908203125,436
270,13.0,90.39864207428144,5401.99951171875,436
271,235.0,165.3813913768964,10602.2607421875,436
272,174.0,107.52550041014514,9063.04296875,436
273,185.0,135.27146234381834,10103.990234375,436
274,18.0,118.35320904011196,9591.263671875,436
275,262.0,154.87854417160838,14885.0869140625,436
276,376.0,206.6716583552292,11062.642578125,436
277,177.0,204.36233320681947,8694.828125,436
278,222.0,196.56012853394077,10614.431640625,436
279,381.0,207.46871327992483,13065.623046875,436
280,374.0,203.36853954051196,13914.19921875,436
